Loaded model from ./exp3 at epoch 100
train:epoch0 loss:2.3035730768223197
train:epoch1 loss:2.301779995159227
train:epoch2 loss:2.2759535227503096
train:epoch3 loss:2.097610979055872
train:epoch4 loss:2.0397139009164302
train:epoch5 loss:2.0111460387706757
train:epoch6 loss:1.980406008812846
train:epoch7 loss:1.9169421998821958
train:epoch8 loss:1.8550797287298708
train:epoch9 loss:1.8077781547089011
val:epoch10 acc:35.21 loss:1.7630238261403917
train:epoch10 loss:1.757960430821594
train:epoch11 loss:1.7125923682232291
train:epoch12 loss:1.6793772675553147
train:epoch13 loss:1.6521399519881423
train:epoch14 loss:1.6317489749314833
train:epoch15 loss:1.6078876968549223
train:epoch16 loss:1.5888644754886627
train:epoch17 loss:1.5758915105644538
train:epoch18 loss:1.561091895006141
train:epoch19 loss:1.549250035869832
val:epoch20 acc:43.84 loss:1.528184560280812
train:epoch20 loss:1.5294352818508536
train:epoch21 loss:1.5108297722680228
train:epoch22 loss:1.4947115128137627
train:epoch23 loss:1.4834276462087825
train:epoch24 loss:1.464331997900593
train:epoch25 loss:1.4514306814086682
train:epoch26 loss:1.4432120402248538
train:epoch27 loss:1.425408300696587
train:epoch28 loss:1.4142090398438123
train:epoch29 loss:1.4038230059098225
val:epoch30 acc:49.31 loss:1.384958565989627
train:epoch30 loss:1.3929470850496877
train:epoch31 loss:1.3882113956675237
train:epoch32 loss:1.372099120397957
train:epoch33 loss:1.3662890062040212
train:epoch34 loss:1.3622139236148523
train:epoch35 loss:1.3448873064955886
train:epoch36 loss:1.3467207709137274
train:epoch37 loss:1.341397042785372
train:epoch38 loss:1.3318411829520245
train:epoch39 loss:1.3230349086985296
val:epoch40 acc:52.32 loss:1.3082916117921661
train:epoch40 loss:1.3136790905679976
train:epoch41 loss:1.3154421406132835
train:epoch42 loss:1.3059385315496095
train:epoch43 loss:1.3011221964748538
train:epoch44 loss:1.2966143768660876
train:epoch45 loss:1.2873378614990079
train:epoch46 loss:1.2836176163079787
train:epoch47 loss:1.2785035189317198
train:epoch48 loss:1.2659318337635117
train:epoch49 loss:1.2640365380413678
val:epoch50 acc:54.64 loss:1.254633695264406
train:epoch50 loss:1.2550461237527886
train:epoch51 loss:1.2504130705278746
train:epoch52 loss:1.2534646726384455
train:epoch53 loss:1.2472930033596195
train:epoch54 loss:1.2396025505601143
train:epoch55 loss:1.2342056048159697
train:epoch56 loss:1.2307628259366872
train:epoch57 loss:1.2234777339867182
train:epoch58 loss:1.222111585797096
train:epoch59 loss:1.2160559898736525
val:epoch60 acc:55.89 loss:1.2113230183154722
train:epoch60 loss:1.2133932995552918
train:epoch61 loss:1.208290319661705
train:epoch62 loss:1.2068734375797971
train:epoch63 loss:1.2039679279740976
train:epoch64 loss:1.199533929021991
train:epoch65 loss:1.1977280591215407
train:epoch66 loss:1.1903912455451733
train:epoch67 loss:1.1906706982729387
train:epoch68 loss:1.1863621248274434
train:epoch69 loss:1.1835316754117304
val:epoch70 acc:56.69 loss:1.1917382516438448
train:epoch70 loss:1.180612433321622
train:epoch71 loss:1.1796887456154337
train:epoch72 loss:1.175496941926528
train:epoch73 loss:1.1755555418072914
train:epoch74 loss:1.1709873445179997
train:epoch75 loss:1.159140179047779
train:epoch76 loss:1.1673031333757906
train:epoch77 loss:1.16113865101824
train:epoch78 loss:1.1550236639319633
train:epoch79 loss:1.155839468751635
val:epoch80 acc:58.07 loss:1.1610803332509874
train:epoch80 loss:1.1514856182799047
train:epoch81 loss:1.1400752167920678
train:epoch82 loss:1.1385214155425831
train:epoch83 loss:1.1415528204976295
train:epoch84 loss:1.1368029917381248
train:epoch85 loss:1.13341928136592
train:epoch86 loss:1.1328122366447837
train:epoch87 loss:1.132259986838516
train:epoch88 loss:1.1207340599931017
train:epoch89 loss:1.1219391302794826
val:epoch90 acc:59.59 loss:1.1223420561114443
train:epoch90 loss:1.112930385738003
train:epoch91 loss:1.116753301146079
train:epoch92 loss:1.1190901815283054
train:epoch93 loss:1.10803292600476
train:epoch94 loss:1.104219481957202
train:epoch95 loss:1.1006724621568407
train:epoch96 loss:1.1081337849704587
train:epoch97 loss:1.096285101102323
train:epoch98 loss:1.096674665200467
train:epoch99 loss:1.0931944764998494
val:epoch100 acc:60.5 loss:1.0981280373621591
train:epoch100 loss:1.088763093765901
train:epoch101 loss:1.0839605574705162
train:epoch102 loss:1.0825877137938325
train:epoch103 loss:1.08668082587573
train:epoch104 loss:1.076115489614253
train:epoch105 loss:1.073423635898804
train:epoch106 loss:1.0774363324958451
train:epoch107 loss:1.0749640513439567
train:epoch108 loss:1.0703014022841746
train:epoch109 loss:1.0742886154627314
val:epoch110 acc:61.15 loss:1.069657806354233
train:epoch110 loss:1.0656886721143917
train:epoch111 loss:1.064201983566187
train:epoch112 loss:1.0656800038960514
train:epoch113 loss:1.070572862515644
train:epoch114 loss:1.0593711365850604
train:epoch115 loss:1.0526518304737247
train:epoch116 loss:1.053086235815165
train:epoch117 loss:1.0480204306694927
train:epoch118 loss:1.0497137618308165
train:epoch119 loss:1.0423980723230206
val:epoch120 acc:62.14 loss:1.0477715564679495
train:epoch120 loss:1.041806521160262
train:epoch121 loss:1.033990506919063
train:epoch122 loss:1.0397516887406915
train:epoch123 loss:1.046027391540761
train:epoch124 loss:1.0356162743909019
train:epoch125 loss:1.0392352506822469
train:epoch126 loss:1.0368337372736054
train:epoch127 loss:1.0408730470404333
train:epoch128 loss:1.0309997544604905
train:epoch129 loss:1.0312149895697225
